datID,cohort,week,session,mouseID,expID,rawPath,firstTiff
121,coh1,w22,ses2_20211124,M19,RF2,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/RF_2,M19_RF_00002_00001.tif
122,coh1,w22,ses1_20211129,M20,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/Contrast,M20_contrast_00001_00001.tif
123,coh1,w22,ses1_20211129,M20,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/DR,M20_DR_00001_00001.tif
124,coh1,w22,ses1_20211129,M20,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/OO,M20_OO_00001_00001.tif
125,coh1,w22,ses1_20211129,M20,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/OR,M20_OR_00001_00001.tif
126,coh1,w22,ses1_20211129,M20,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/SF,M20_SF_00001_00001.tif
127,coh1,w22,ses1_20211129,M20,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/TF,M20_TF_00001_00001.tif
128,coh1,w22,ses1_20211129,M20,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M20/20211129/RF,M20_RF_00001_00001.tif
129,coh1,w22,ses1_20211201,M22,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/Contrast,M22_Contrast_00001_00001.tif
130,coh1,w22,ses1_20211201,M22,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/DR,M22_DR_00001_00001.tif
131,coh1,w22,ses1_20211201,M22,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/OO,M22_OO_00001_00001.tif
132,coh1,w22,ses1_20211201,M22,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/OR,M22_OR_00001_00001.tif
133,coh1,w22,ses1_20211201,M22,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/SF,M22_SF_00001_00001.tif
134,coh1,w22,ses1_20211201,M22,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/TF,M22_TF_00001_00001.tif
135,coh1,w22,ses1_20211201,M22,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M22/20211201/RF,M22_RF_00001_00001.tif
136,coh1,w22,ses1_20220103,M91,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/Contrast,M91_contrast_00001_00001.tif
137,coh1,w22,ses1_20220103,M91,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/DR,M91_DR_00001_00001.tif
138,coh1,w22,ses1_20220103,M91,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/OO,M91_OO_00001_00001.tif
139,coh1,w22,ses1_20220103,M91,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/OR,M91_OR_00001_00001.tif
140,coh1,w22,ses1_20220103,M91,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/SF,M91_TF_00001_00001.tif
141,coh1,w22,ses1_20220103,M91,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/TF,M91_TF_00001_00001.tif
142,coh1,w22,ses1_20220103,M91,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M91_03012022_22weeks/RF,M91_RF_00001_00001.tif
143,coh1,w22,ses1_20220318,M117,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/Contrast,M117_contrast_00002_00001.tif
144,coh1,w22,ses1_20220318,M117,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/DR,M117_DR_00001_00001.tif
145,coh1,w22,ses1_20220318,M117,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/OO,M117_OO_00001_00001.tif
146,coh1,w22,ses1_20220318,M117,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/OR,M117_OR_00001_00001.tif
147,coh1,w22,ses1_20220318,M117,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/SF,M117_SF_00001_00001.tif
148,coh1,w22,ses1_20220318,M117,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/TF_filenamedSF/,M117_SF_00001_00001.tif
149,coh1,w22,ses1_20220318,M117,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/RF,M117_RF_00001_00001.tif
150,coh1,w22,ses1_20220318,M117,contrast2,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M117_22weeks/Contrast2,M117_contrast_00002_00001.tif
151,coh2,w11,ses1_20210914,M24,contrast,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/Contrast,Contrast_M24_00001_00001.tif
152,coh2,w11,ses1_20210914,M24,DR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/DR,DR_M24_00001_00001.tif
153,coh2,w11,ses1_20210914,M24,OR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/OR,OR_M24_00001_00001.tif
154,coh2,w11,ses1_20210914,M24,OO,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/OO,OO_M24_00001_00001.tif
155,coh2,w11,ses1_20210914,M24,RF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/RF,RF_M24_00001_00001.tif
156,coh2,w11,ses1_20210914,M24,TF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/TF,TF_M24_00001_00001.tif
157,coh2,w11,ses1_20210914,M24,SF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M24_Mecp2only_3mm/RAW/SF,SF_M24_00001_00001.tif
158,coh2,w11,ses1_20211103,M73,contrast,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/Contrast,contrast_M73_00001_00001.tif
159,coh2,w11,ses1_20211103,M73,DR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/DR,DR_M73_00001_00001.tif
160,coh2,w11,ses1_20211103,M73,OR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/OR,OR_M73_00001_00001.tif
161,coh2,w11,ses1_20211103,M73,OO,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/OO,OO_M73_00001_00001.tif
162,coh2,w11,ses1_20211103,M73,RF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/RF,RF_M73_00001_00001.tif
163,coh2,w11,ses1_20211103,M73,TF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/TF,TF_M73_00001_00001.tif
164,coh2,w11,ses1_20211103,M73,SF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M73_male/11032021/SF,SF_M73_00001_00001.tif
165,coh2,w11,ses1_20211104,M75,contrast,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/Contrast,contrast_M75__00001_00001.tif
166,coh2,w11,ses1_20211104,M75,DR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/DR,DR_M75__00001_00001.tif
167,coh2,w11,ses1_20211104,M75,OR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/OR,OR_M75__00001_00001.tif
168,coh2,w11,ses1_20211104,M75,OO,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/OO,OO_M75__00001_00001.tif
169,coh2,w11,ses1_20211104,M75,RF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/RF,RF_M75__00001_00001.tif
170,coh2,w11,ses1_20211104,M75,TF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/TF,TF_M75__00001_00001.tif
171,coh2,w11,ses1_20211104,M75,SF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M75/SF,SF_M75__00001_00001.tif
172,coh2,w11,ses1_20211029,M77,contrast,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/10292021/contrast,Contrast_M77_00001_00001.tif
173,coh2,w11,ses2_20211105,M77,contrast,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/11052021-step2/contrast/,Contrast_M77step2_00001_00001.tif
174,coh2,w11,ses3_20211106,M77,contrast,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/11062021_step2/contrast/,contrast_M77step2_00001_00001.tif
175,coh2,w11,ses1_20211029,M77,DR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/10292021/DR,DR_M77_00001_00001.tif
176,coh2,w11,ses3_20211106,M77,DR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/11062021_step2/DR,DR_M77step2_00001_00001.tif
177,coh2,w11,ses3_20211106,M77,OR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/11062021_step2/OR,OR_M77step2_00001_00001.tif
178,coh2,w11,ses3_20211106,M77,OR2,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/11062021_step2/OR_2,OR_M77step2_00002_00001.tif
179,coh2,w11,ses1_20211029,M77,OR,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/10292021/OR,OR_M77_00001_00001.tif
180,coh2,w11,ses1_20211029,M77,RF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/10292021/RF,RF_M77_00001_00001.tif
181,coh2,w11,ses1_20211029,M77,TF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/10292021/TF,TF_M77_00001_00001.tif
182,coh2,w11,ses1_20211029,M77,SF,/mnt/Toshiba-16TB_2/Mecp2_cohort2_11wks raw and processed/M77/10292021/SF,SF_M77_00001_00001.tif
